meal_type,meal,calories,protein_g,carbs_g,fats_g,items,target
Breakfast,Oatmeal + Banana + Almonds,420,12,65,12,"Oats, banana, almonds",General Fitness
Breakfast,Greek Yogurt + Berries + Honey,300,18,40,6,"Greek yogurt, berries, honey",Weight Loss
Breakfast,Egg White Omelette + Toast,380,30,30,12,"Egg whites, veggies, toast",Muscle Gain
Lunch,Grilled Chicken Salad,520,45,25,22,"Chicken, mixed greens, olive oil",Weight Loss
Lunch,Quinoa + Tofu + Veggies,600,28,70,18,"Quinoa, tofu, mixed veg",General Fitness
Lunch,Salmon + Brown Rice + Veggies,750,50,60,30,"Salmon, brown rice, veggies",Muscle Gain
Snack,Protein Smoothie,320,28,35,6,"Whey, banana, milk",Muscle Gain
Snack,Apple + Peanut Butter,200,5,28,9,"Apple, peanut butter",General Fitness
Snack,Carrot Sticks + Hummus,180,6,20,8,"Carrots, hummus",Weight Loss
Dinner,Grilled Veg + Paneer,610,35,50,28,"Paneer, mixed grilled veg",Muscle Gain
Dinner,Lentil Curry + Brown Rice,520,22,75,8,"Lentils, rice, spices",General Fitness
Dinner,Baked Fish + Salad,430,38,20,18,"White fish, salad",Weight Loss
